2026-02-19
紀律長贏：揭開清大校務基金操盤人風險控管與穩定獲利的策略,林哲群,355元,商業理財,https://www.books.com.tw/products/0011042966/22
聖潔少女的祕蜜情事 (2),閃 凡人,110元,限制級商品（需登入）,https://www.books.com.tw/products/0011045277/23
SAKAMOTO DAYS 坂本日常 (首刷限定版) 23,鈴木祐斗,272元,漫畫/圖文書,https://www.books.com.tw/products/0011042682/24
金田一37歲之事件簿 17,天樹 征丸 ／佐藤文也,119元,漫畫/圖文書,https://www.books.com.tw/products/0011043886/25
十月堂舊書事２,兒島青,221元,漫畫/圖文書,https://www.books.com.tw/products/0011038578/26
刪掉容易，忘掉很難,林思齊,331元,心理勵志,https://www.books.com.tw/products/0011041796/27
特殊傳說Ⅲ vol.11,護玄,252元,輕小說,https://www.books.com.tw/products/0011044230/28
請解開故事謎底【2026珍藏特裝組】,花於景（雷雷夥伴）,675元,輕小說,https://www.books.com.tw/products/0011044493/29
夜畫帳第八卷,Byeonduck,340元,限制級商品（需登入）,https://www.books.com.tw/products/0011043138/30
SAKAMOTO DAYS 坂本日常 23,鈴木祐斗,93元,漫畫/圖文書,https://www.books.com.tw/products/0011042681/31
鏈鋸人 21,藤本樹,93元,漫畫/圖文書,https://www.books.com.tw/products/0011035312/32
蒼一先生的色色話題令人心癢難耐!! (1),mmk,110元,限制級商品（需登入）,https://www.books.com.tw/products/0011045264/33
擁有過 就好：告別青春的最後一封情書,黃山料,331元,文學小說,https://www.books.com.tw/products/0011036459/34
難以承受的悸動是戀愛嗎？ 3 首刷限定版,空華みあ,204元,漫畫/圖文書,https://www.books.com.tw/products/0011042967/35
你的色彩Ｘ直播～今晚再指導蓓兒吧～ (4),守月史貴,102元,限制級商品（需登入）,https://www.books.com.tw/products/0011045247/36
照明設計教科書：從理論到實踐全方位生活場景的光線規劃指南,福多佳子（ふくだ・よしこ）,829元,藝術設計,https://www.books.com.tw/products/0011042106/37
戀愛吧，假面天使！ (首刷限定版) 5,卯月coco,195元,漫畫/圖文書,https://www.books.com.tw/products/0011041763/38
聖闘士星矢 Final Edition(13),車田正美,126元,漫畫/圖文書,https://www.books.com.tw/products/0011045098/39
將殺7,TAN,340元,限制級商品（需登入）,https://www.books.com.tw/products/0011043142/40
魔男伊奇 (首刷限定版) 4,宇佐崎 しろ (漫畫) ／西 修 (原作),161元,漫畫/圖文書,https://www.books.com.tw/products/0011041758/41
美夜妹妹的求淫生活！ (1),降本孟,110元,限制級商品（需登入）,https://www.books.com.tw/products/0011045240/42
指數致富：普通人也能複製的長期致富法則,周岐原,355元,商業理財,https://www.books.com.tw/products/0011044178/43
小島職人：雞毛撢子、蹦火仔、粧佛師，那些屬於我們的臺灣故事,楊婷雅（Yama）,355元,人文社科,https://www.books.com.tw/products/0011043434/44
傳說的放蕩肉棒VS鐵壁後庭(01),ととふみ,119元,限制級商品（需登入）,https://www.books.com.tw/products/0011044060/45
我在意的對象並不是男人 (3),新井すみこ,238元,漫畫/圖文書,https://www.books.com.tw/products/0011038584/46
薰香花朵凛然綻放 (首刷限定版) 15,三香見SAKA,161元,漫畫/圖文書,https://www.books.com.tw/products/0011042075/47
外掛X性愛 漫畫創作集,企畫：一迅社,126元,限制級商品（需登入）,https://www.books.com.tw/products/0011045103/48
這一生，你可曾真正活過？：挪威的生命之書，人生7個終極領悟,湯瑪斯．希倫．艾瑞克森,323元,心理勵志,https://www.books.com.tw/products/0011043527/49
等你成為Sub，再好好獎勵你 全,まっけ,136元,限制級商品（需登入）,https://www.books.com.tw/products/0011042309/50
2026-02-24
書名,作者,價格,分類,連結
日花閃爍：台語的美麗詞彙&一百首詩,温若喬,355元,文學小說,https://www.books.com.tw/products/0011039851/1
鏈鋸人 (首刷限定版) 22,藤本樹,178元,漫畫/圖文書,https://www.books.com.tw/products/0011041755/2
我們不可能成為戀人！絕對不行。 (※似乎可行？)短篇集 全,みかみてれん,178元,輕小說,https://www.books.com.tw/products/0011042323/3
我們不可能成為戀人！絕對不行。 (※似乎可行？)短篇集 (首刷限定版) 全,みかみてれん,646元,輕小說,https://www.books.com.tw/products/0011042324/4
SPY×FAMILY 間諜家家酒 (首刷限定版) 16,遠藤 達哉,170元,漫畫/圖文書,https://www.books.com.tw/products/0011042311/5
惡靈剋星 (首刷限定版) 6,新翔子,195元,漫畫/圖文書,https://www.books.com.tw/products/0011042684/6
主角模式：從「我得這樣」到「我可以選擇」，影響7500萬人的成長祕密,樊登,331元,商業理財,https://www.books.com.tw/products/0011038878/7
在小山和小山之間：故事大爆炸年度首獎之作,李停,284元,文學小說,https://www.books.com.tw/products/0011042972/8
SPY×FAMILY 間諜家家酒 16,遠藤 達哉,93元,漫畫/圖文書,https://www.books.com.tw/products/0011042310/9
葬送的芙莉蓮 (特裝版) 15,山田 鐘人 (原作)／阿部 司 (作畫),246元,漫畫/圖文書,https://www.books.com.tw/products/0011041767/10
Gemini 3 x NotebookLM領軍：Nano Banana Pro x Veo x Whisk x Flow x Gem - Google 多模態 AI 工作流,洪錦魁,513元,電腦資訊,https://www.books.com.tw/products/0011041635/11
從破產人生逆襲到財務自由：你一定要懂的財商真相，36個翻轉心法把人生找回來,李文森,308元,商業理財,https://www.books.com.tw/products/0011044006/12
特殊傳說III【2026珍藏特裝組】,護玄,720元,輕小說,https://www.books.com.tw/products/0011044492/13
骷髏13(002),齊藤隆夫,255元,漫畫/圖文書,https://www.books.com.tw/products/0011044745/14
我想成為影之強者！ (14),"坂野 杏梨,逢沢 大介,東西",110元,限制級商品（需登入）,https://www.books.com.tw/products/0011045255/15
滿洲鴉片小隊(16),門馬司,170元,漫畫/圖文書,https://www.books.com.tw/products/0011044738/16
冠軍之路：2024世界棒球12強賽感動全紀錄【聯名電影書】,"曾文誠,陳祖安",434元,生活風格,https://www.books.com.tw/products/0011042760/17
鏈鋸人 22,藤本樹,93元,漫畫/圖文書,https://www.books.com.tw/products/0011041754/18
紀律長贏：揭開清大校務基金操盤人風險控管與穩定獲利的策略,林哲群,355元,商業理財,https://www.books.com.tw/products/0011042966/19
葬送的芙莉蓮 15,山田 鐘人 (原作)／阿部 司 (作畫),93元,漫畫/圖文書,https://www.books.com.tw/products/0011041766/20
SAKAMOTO DAYS 坂本日常 (首刷限定版) 23,鈴木祐斗,272元,漫畫/圖文書,https://www.books.com.tw/products/0011042682/21
聖潔少女的祕蜜情事 (3),閃 凡人,110元,限制級商品（需登入）,https://www.books.com.tw/products/0011045278/22
刪掉容易，忘掉很難,林思齊,331元,心理勵志,https://www.books.com.tw/products/0011041796/23
平野與鍵浦 (5),春園ショウ,110元,漫畫/圖文書,https://www.books.com.tw/products/0011038483/24
聖潔少女的祕蜜情事 (2),閃 凡人,110元,限制級商品（需登入）,https://www.books.com.tw/products/0011045277/25
十月堂舊書事２,兒島青,221元,漫畫/圖文書,https://www.books.com.tw/products/0011038578/26
夜畫帳第八卷,Byeonduck,340元,限制級商品（需登入）,https://www.books.com.tw/products/0011043138/27
金田一37歲之事件簿 17,天樹 征丸 ／佐藤文也,119元,漫畫/圖文書,https://www.books.com.tw/products/0011043886/28
特殊傳說Ⅲ vol.11,護玄,252元,輕小說,https://www.books.com.tw/products/0011044230/29
難以承受的悸動是戀愛嗎？ 3 首刷限定版,空華みあ,204元,漫畫/圖文書,https://www.books.com.tw/products/0011042967/30
SAKAMOTO DAYS 坂本日常 23,鈴木祐斗,93元,漫畫/圖文書,https://www.books.com.tw/products/0011042681/31
照明設計教科書：從理論到實踐全方位生活場景的光線規劃指南,福多佳子（ふくだ・よしこ）,829元,藝術設計,https://www.books.com.tw/products/0011042106/32
請解開故事謎底【2026珍藏特裝組】,花於景（雷雷夥伴）,675元,輕小說,https://www.books.com.tw/products/0011044493/33
擁有過 就好：告別青春的最後一封情書,黃山料,331元,文學小說,https://www.books.com.tw/products/0011036459/34
蒼一先生的色色話題令人心癢難耐!! (1),mmk,110元,限制級商品（需登入）,https://www.books.com.tw/products/0011045264/35
鏈鋸人 21,藤本樹,93元,漫畫/圖文書,https://www.books.com.tw/products/0011035312/36
戀愛吧，假面天使！ (首刷限定版) 5,卯月coco,195元,漫畫/圖文書,https://www.books.com.tw/products/0011041763/37
美夜妹妹的求淫生活！ (1),降本孟,110元,限制級商品（需登入）,https://www.books.com.tw/products/0011045240/38
你的色彩Ｘ直播～今晚再指導蓓兒吧～ (4),守月史貴,102元,限制級商品（需登入）,https://www.books.com.tw/products/0011045247/39
將殺7,TAN,340元,限制級商品（需登入）,https://www.books.com.tw/products/0011043142/40
請解開故事謎底 05,花於景（雷雷夥伴）,221元,輕小說,https://www.books.com.tw/products/0011044225/41
聖闘士星矢 Final Edition(13),車田正美,126元,漫畫/圖文書,https://www.books.com.tw/products/0011045098/42
魔男伊奇 (首刷限定版) 4,宇佐崎 しろ (漫畫) ／西 修 (原作),161元,漫畫/圖文書,https://www.books.com.tw/products/0011041758/43
小島職人：雞毛撢子、蹦火仔、粧佛師，那些屬於我們的臺灣故事,楊婷雅（Yama）,355元,人文社科,https://www.books.com.tw/products/0011043434/44
這一生，你可曾真正活過？：挪威的生命之書，人生7個終極領悟,湯瑪斯．希倫．艾瑞克森,323元,心理勵志,https://www.books.com.tw/products/0011043527/45
零花費上手！Gemini 3 / NotebookLM / Nano Banana Pro / Veo 3.x 最強 AI 組合技，打造全能工作流,施威銘研究室 著,442元,電腦資訊,https://www.books.com.tw/products/0011039756/46
傳說的放蕩肉棒VS鐵壁後庭(01),ととふみ,119元,限制級商品（需登入）,https://www.books.com.tw/products/0011044060/47
指數致富：普通人也能複製的長期致富法則,周岐原,355元,商業理財,https://www.books.com.tw/products/0011044178/48
我買下了與她的每週密會 (6) ～在一個屋簷下，屬於兩人的祕密～,羽田宇佐,221元,限制級商品（需登入）,https://www.books.com.tw/products/0011036937/49
"最強！Google AI 工作術：以 Gemini 3 為核心，串聯 NotebookLM 與滿滿 AI 工具, 搞定資料分析、簡報製作、 教育訓練等日常工作","蔡宜坦,施威銘研究室",473元,電腦資訊,https://www.books.com.tw/products/0011044612/50
2026-02-25
書名,作者,價格,分類,連結
日花閃爍：台語的美麗詞彙&一百首詩,温若喬,355元,文學小說,https://www.books.com.tw/products/0011039851/1
惡靈剋星 (首刷限定版) 6,新翔子,195元,漫畫/圖文書,https://www.books.com.tw/products/0011042684/2
SPY×FAMILY 間諜家家酒 (首刷限定版) 16,遠藤 達哉,170元,漫畫/圖文書,https://www.books.com.tw/products/0011042311/3
從破產人生逆襲到財務自由：你一定要懂的財商真相，36個翻轉心法把人生找回來,李文森,308元,商業理財,https://www.books.com.tw/products/0011044006/4
學校不會教的人生課：怡慧老師的實踐成長學【親簽，博客來獨家書衣版】,宋怡慧,331元,心理勵志,https://www.books.com.tw/products/0011045804/5
主角模式：從「我得這樣」到「我可以選擇」，影響7500萬人的成長祕密,樊登,331元,商業理財,https://www.books.com.tw/products/0011038878/6
在小山和小山之間：故事大爆炸年度首獎之作,李停,284元,文學小說,https://www.books.com.tw/products/0011042972/7
葬送的芙莉蓮 (特裝版) 15,山田 鐘人 (原作)／阿部 司 (作畫),246元,漫畫/圖文書,https://www.books.com.tw/products/0011041767/8
SPY×FAMILY 間諜家家酒 16,遠藤 達哉,93元,漫畫/圖文書,https://www.books.com.tw/products/0011042310/9
Gemini 3 x NotebookLM領軍：Nano Banana Pro x Veo x Whisk x Flow x Gem - Google 多模態 AI 工作流,洪錦魁,513元,電腦資訊,https://www.books.com.tw/products/0011041635/10
我們不可能成為戀人！絕對不行。 (※似乎可行？)短篇集 全,みかみてれん,178元,輕小說,https://www.books.com.tw/products/0011042323/11
冠軍之路：2024世界棒球12強賽感動全紀錄【聯名電影書】,"曾文誠,陳祖安",434元,生活風格,https://www.books.com.tw/products/0011042760/12
特殊傳說III【2026珍藏特裝組】,護玄,720元,輕小說,https://www.books.com.tw/products/0011044492/13
刪掉容易，忘掉很難,林思齊,331元,心理勵志,https://www.books.com.tw/products/0011041796/14
紀律長贏：揭開清大校務基金操盤人風險控管與穩定獲利的策略,林哲群,355元,商業理財,https://www.books.com.tw/products/0011042966/15
葬送的芙莉蓮 15,山田 鐘人 (原作)／阿部 司 (作畫),93元,漫畫/圖文書,https://www.books.com.tw/products/0011041766/16
擁有過 就好：告別青春的最後一封情書,黃山料,331元,文學小說,https://www.books.com.tw/products/0011036459/17
特殊傳說Ⅲ vol.11,護玄,252元,輕小說,https://www.books.com.tw/products/0011044230/18
我想成為影之強者！ (14),"坂野 杏梨,逢沢 大介,東西",119元,限制級商品（需登入）,https://www.books.com.tw/products/0011045255/19
十月堂舊書事２,兒島青,221元,漫畫/圖文書,https://www.books.com.tw/products/0011038578/20
我們不可能成為戀人！絕對不行。 (※似乎可行？)短篇集 (首刷限定版) 全,みかみてれん,646元,輕小說,https://www.books.com.tw/products/0011042324/21
鏈鋸人 (首刷限定版) 22,藤本樹,178元,漫畫/圖文書,https://www.books.com.tw/products/0011041755/22
戀愛吧，假面天使！ (首刷限定版) 5,卯月coco,195元,漫畫/圖文書,https://www.books.com.tw/products/0011041763/23
鏈鋸人 22,藤本樹,93元,漫畫/圖文書,https://www.books.com.tw/products/0011041754/24
平野與鍵浦 (5),春園ショウ,110元,漫畫/圖文書,https://www.books.com.tw/products/0011038483/25
SAKAMOTO DAYS 坂本日常 (首刷限定版) 23,鈴木祐斗,272元,漫畫/圖文書,https://www.books.com.tw/products/0011042682/26
財商：不費力才會贏,吳淡如,355元,商業理財,https://www.books.com.tw/products/0011041784/27
照明設計教科書：從理論到實踐全方位生活場景的光線規劃指南,福多佳子（ふくだ・よしこ）,829元,藝術設計,https://www.books.com.tw/products/0011042106/28
小島職人：雞毛撢子、蹦火仔、粧佛師，那些屬於我們的臺灣故事,楊婷雅（Yama）,355元,人文社科,https://www.books.com.tw/products/0011043434/29
這一生，你可曾真正活過？：挪威的生命之書，人生7個終極領悟,湯瑪斯．希倫．艾瑞克森,323元,心理勵志,https://www.books.com.tw/products/0011043527/30
金田一37歲之事件簿 17,天樹 征丸 ／佐藤文也,119元,漫畫/圖文書,https://www.books.com.tw/products/0011043886/31
請解開故事謎底 05,花於景（雷雷夥伴）,221元,輕小說,https://www.books.com.tw/products/0011044225/32
滿洲鴉片小隊(16),門馬司,170元,漫畫/圖文書,https://www.books.com.tw/products/0011044738/33
【套書】相反的你和我(1-8完),（出版社：尖端）,優惠價：969元,漫畫/圖文書,https://www.books.com.tw/products/0011042729/34
AI 研究寫作全攻略：NotebookLM × Gemini × ChatGPT × Perplexity,"洪兆祥,黃聖方,漫新知 (MINDWAY 教育品牌)",497元,電腦資訊,https://www.books.com.tw/products/0011044193/35
零花費上手！Gemini 3 / NotebookLM / Nano Banana Pro / Veo 3.x 最強 AI 組合技，打造全能工作流,施威銘研究室 著,442元,電腦資訊,https://www.books.com.tw/products/0011039756/36
我買下了與她的每週密會 (6) ～在一個屋簷下，屬於兩人的祕密～,羽田宇佐,221元,限制級商品（需登入）,https://www.books.com.tw/products/0011036937/37
隨心所欲：跟隨直覺，活出你專屬的自在豐盛,殷采霏,395元,心理勵志,https://www.books.com.tw/products/0011039376/38
"最強！Google AI 工作術：以 Gemini 3 為核心，串聯 NotebookLM 與滿滿 AI 工具, 搞定資料分析、簡報製作、 教育訓練等日常工作","蔡宜坦,施威銘研究室",473元,電腦資訊,https://www.books.com.tw/products/0011044612/39
蘋果在中國：美國科技巨頭如何造就中國製造霸權,派翠克．麥奇,379元,商業理財,https://www.books.com.tw/products/0011037411/40
SAKAMOTO DAYS 坂本日常 23,鈴木祐斗,93元,漫畫/圖文書,https://www.books.com.tw/products/0011042681/41
絕叫【日本推理四大獎、現象級小說經典復活！】,葉真中顯,315元,文學小說,https://www.books.com.tw/products/0011037830/42
難以承受的悸動是戀愛嗎？ 3 首刷限定版,空華みあ,204元,漫畫/圖文書,https://www.books.com.tw/products/0011042967/43
夜畫帳第八卷,Byeonduck,340元,限制級商品（需登入）,https://www.books.com.tw/products/0011043138/44
聖潔少女的祕蜜情事 (3),閃 凡人,119元,限制級商品（需登入）,https://www.books.com.tw/products/0011045278/45
請解開故事謎底【2026珍藏特裝組】,花於景（雷雷夥伴）,675元,輕小說,https://www.books.com.tw/products/0011044493/46
指數致富：普通人也能複製的長期致富法則,周岐原,355元,商業理財,https://www.books.com.tw/products/0011044178/47
蒼一先生的色色話題令人心癢難耐!! (1),mmk,119元,限制級商品（需登入）,https://www.books.com.tw/products/0011045264/48
傳說的放蕩肉棒VS鐵壁後庭(01),ととふみ,119元,限制級商品（需登入）,https://www.books.com.tw/products/0011044060/49
我在意的對象並不是男人 (3),新井すみこ,238元,漫畫/圖文書,https://www.books.com.tw/products/0011038584/50
